leaked_bits,sigma,m,seed,epochs,cnn_test_bit_accuracy,cnn_test_prefix_accuracy,cnn_test_exact_prefixes,oracle_hnp_key_recovered,cnn_hnp_key_recovered,hnp_backend,oracle_hnp_runtime_seconds,cnn_hnp_runtime_seconds,oracle_hnp_error,cnn_hnp_error
12,0.2,40,1014,,0.9916666666666668,0.95,38,,True,fpylll,,0.3115889599994261,,
14,0.2,40,1014,,0.9928571428571428,0.95,38,,True,fpylll,,0.100276529000439,,
8,0.0,40,1015,,1.0,1.0,40,,False,fpylll,,0.0949986420000641,,
10,0.0,40,1015,,1.0,1.0,40,,True,fpylll,,0.1055491919996711,,
12,0.0,40,1015,,1.0,1.0,40,,True,fpylll,,0.1103426789995865,,
14,0.0,40,1015,,1.0,1.0,40,,True,fpylll,,0.0895000789996629,,
8,0.05,40,1015,,1.0,1.0,40,,False,fpylll,,0.1096658450005634,,
10,0.05,40,1015,,1.0,1.0,40,,True,fpylll,,0.0935858650000227,,
12,0.05,40,1015,,1.0,1.0,40,,True,fpylll,,0.1105257790004543,,
14,0.05,40,1015,,1.0,1.0,40,,True,fpylll,,0.0995316520002234,,
8,0.1,40,1015,,1.0,1.0,40,,False,fpylll,,0.0995297010003923,,
10,0.1,40,1015,,1.0,1.0,40,,True,fpylll,,0.1059226679999483,,
12,0.1,40,1015,,1.0,1.0,40,,True,fpylll,,0.1176267470000311,,
14,0.1,40,1015,,1.0,1.0,40,,True,fpylll,,0.0919046540002455,,
